stock_symbol,company_name
AMZN,"Amazon.com, Inc."
AYX,"Alteryx, Inc."
MSTR,MICROSTRATEGY Inc
MDB,"MongoDB, Inc."
PANW,Palo Alto Networks Inc
OKTA,"Okta, Inc."
DDOG,"Datadog, Inc."
CRM,"SALESFORCE.COM, INC."
PLTR,Palantir Technologies Inc.
ZM,"Zoom Video Communications, Inc."
PD,"PagerDuty, Inc"
U, Unity Software Inc.
ADSK,"Autodesk, Inc."
ADP, AUTOMATIC DATA PROCESSING INC
BOX, BOX INC
ASAN,"Asana, Inc"
ADBE,"ADOBE INC.",
DOCU,"DOCUSIGN, INC."
INTU,"INTUIT INC",
